phrase,path,source_filename_kind,bytes,sha256,duration_seconds,codec,width,height,frame_rate,frame_count,rotation_degrees
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/14e3ce68.mp4,opaque,206570,8e3c6a3e65848365a14e1d683c177b83707121ba5ca878c68b1a766091fd5908,0.366667,mpeg4,640,480,30/1,11,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/192a9618.mp4,opaque,166757,dfff9c0a63ffa2555b1573123d953270a4bcfcbd6d6d3a4be827ecbefb71346e,0.333333,mpeg4,640,480,30/1,10,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/26cc70f1.mp4,opaque,271406,fcfaa544a78ba224ecb0958d518e4ae9d3a1a9aead2e139a200d3631730797f3,0.433333,mpeg4,640,480,30/1,13,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/27a2b873.mp4,opaque,2472605,cb6d60582b2b1b4c4c762aa85e2977ff2f355031e02607e7f0ce71262970cf84,4.633333,mpeg4,640,480,30/1,139,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/2b17a1ac.mp4,opaque,2774870,fe0ed0b6651266eb73a5e310f921b97c6b157ebb672b39470bf76d5c1f45742f,4.766667,mpeg4,640,480,30/1,143,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/300abaf7.mp4,opaque,2550670,74d0cd9750526cc3789d793273c6d70884b6f3716c8a65ced6574e109c148baa,4.9,mpeg4,640,480,30/1,147,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/36cd5fdd.mp4,opaque,5156554,ebe834a96e3969600214ba9c63149831ed316f3ca3573a8c476a7ca0fb3b7be5,4.633333,mpeg4,640,480,30/1,139,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/402377b8.mp4,opaque,2324243,2cdefd57dcc0c3da99b72a936172b8801ae7cd8f485309f6c69f4f361b4cab03,4.566667,mpeg4,640,480,30/1,137,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/409da519.mp4,opaque,2603524,1bf7352fc59c60cf13b40d0ec6de17ce259811f3b5c94cbb3eb58ddb3a52a4d7,4.733333,mpeg4,640,480,30/1,142,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/45d7c6f1.mp4,opaque,2037460,57cf5b9d4d88ea9d0618157ec05d5456d6c1c38e87081a55fb0ff1b3abdee065,4.266667,mpeg4,640,480,30/1,128,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/45fabd6d.mp4,opaque,213465,985a5eb0ef8368319e7b99f4d4a4824d1076a1cd9e0b6e1c19d708e5fdc4c547,0.4,mpeg4,640,480,30/1,12,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/48a2355f.mp4,opaque,195082,afede30d0a1d4be99c8bfbbcdf95864d8565d397fd655788c98515c3a517c7c3,0.366667,mpeg4,640,480,30/1,11,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/555e2ebb.mp4,opaque,225512,fca2dabebd0b51342f6f59eb64e1fd281ad68f9c02507c1fa636a835afdede68,0.366667,mpeg4,640,480,30/1,11,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/5e49d51b.mp4,opaque,4072196,f0c94ac840e30bb63220836e1c72a3a488e589400863be91f2284e2e9e1ffe47,3.833333,mpeg4,640,480,30/1,115,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/60e563a3.mp4,opaque,185863,082804620fc7b6d39976797863e9f07743601628ea56cfc9a1ff1effd9d862e1,0.333333,mpeg4,640,480,30/1,10,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/68e844f9.mp4,opaque,4562092,00d1c027c2e97f32d3c3c2cab570a0e8e9cd5e897a2b527f332866fbecdc8c92,4.133333,mpeg4,640,480,30/1,124,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/764646b2.mp4,opaque,175021,401e3b17679f5eec0abad842bb9da0f1fe833e4f78c6f80a6ba16ad9d0516582,0.366667,mpeg4,640,480,30/1,11,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/7d793c90.mp4,opaque,2693825,a9a056dd8819aa32637b2e45907dec1928850977dca575c87c6b9fa227f9a3ed,4.5,mpeg4,640,480,30/1,135,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/7de6de19.mp4,opaque,171878,9e2f840c1761e6f68557cccce752e1d5c9fe9f8d5a7e76f2b193c89195e81fef,0.333333,mpeg4,640,480,30/1,10,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/83ea4471.mp4,opaque,2303727,37dbb49e57caca570d0c019b528e6687138ee5eda4411d1c3f17ed07a494f647,4.133333,mpeg4,640,480,30/1,124,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/88b4a43d.mp4,opaque,212873,e29ebf0e1594251312119068b40f11d7bbe36a3d9438331b5a67faf7f3ad6dc7,0.4,mpeg4,640,480,30/1,12,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/9fe22748.mp4,opaque,186345,af14e8bfac9a5323832c301fba6f001bc73ab2d7692be2af6b56de59221f818e,0.366667,mpeg4,640,480,30/1,11,0.0
GOOD_MORNING,data/raw_videos/PHRASES/GOOD_MORNING/GOOD_MORNING_1.mp4,numbered,505146,27845bb534f640471a0ccea19d2e50d334f45ada4bf0b3084a2e464c38d58151,3.466667,mpeg4,640,480,30/1,104,0.0
