feature_path,split,label,hand_active_output_frames,left_active_output_frames,right_active_output_frames,both_hands_active_output_frames,left_joint_completeness_when_active,right_joint_completeness_when_active,observed_point_confidence_mean,observed_point_confidence_min,detected_hand_source_frames_after_trim,detected_hand_source_frames_before_trim
test/ANGRY/08513757310623649-ANGRY.v17.npz,test,ANGRY,0.9375,0.59375,0.90625,0.5625,0.8546365914786967,0.8784893267651889,0.601356565952301,0.0787353515625,0.9310344827586207,0.9
test/ANGRY/11888985347178949-ANGRY.v17.npz,test,ANGRY,0.875,0.71875,0.875,0.71875,0.9440993788819876,0.9217687074829932,0.5145463943481445,0.0765380859375,0.8292682926829268,0.38636363636363635
test/ANGRY/1524601169265407-ANGRY.v17.npz,test,ANGRY,0.875,0.8125,0.875,0.8125,0.9120879120879121,0.9659863945578231,0.522893488407135,0.075439453125,0.8620689655172413,0.2976190476190476
test/ANGRY/17023133428195614-ANGRY.v17.npz,test,ANGRY,0.9375,0.8125,0.90625,0.78125,0.9798534798534798,0.9343185550082101,0.5981371402740479,0.0821533203125,0.9166666666666666,0.4731182795698925
test/ANGRY/21756592291360333-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.84375,0.84375,0.9421768707482994,0.9435626102292769,0.6432531476020813,0.0797119140625,0.8823529411764706,0.3614457831325301
test/ANGRY/22543033758638464-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.875,0.875,0.9897959183673469,0.9931972789115646,0.6385139226913452,0.0816650390625,0.9,0.375
test/ANGRY/2693093225302592-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.6875,0.6875,0.9302721088435374,0.9155844155844156,0.6155536770820618,0.0855712890625,0.8387096774193549,0.45614035087719296
test/ANGRY/2983145121028361-ANGRY.v17.npz,test,ANGRY,0.875,0.8125,0.875,0.8125,0.9285714285714286,0.9523809523809523,0.574152410030365,0.08447265625,0.9047619047619048,0.5846153846153846
test/ANGRY/3101666645542922-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.6875,0.6875,0.9455782312925171,0.9913419913419913,0.6050264835357666,0.0760498046875,0.8484848484848485,0.4117647058823529
test/ANGRY/48411634496923006-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.46875,0.46875,0.6921768707482994,0.946031746031746,0.5561636686325073,0.075927734375,0.7407407407407407,0.43478260869565216
test/ANGRY/4924276370652909-ANGRY.v17.npz,test,ANGRY,0.875,0.84375,0.875,0.84375,1.0,1.0,0.6559634208679199,0.0919189453125,0.9047619047619048,0.4
test/ANGRY/5007495284169172-ANGRY.v17.npz,test,ANGRY,0.875,0.8125,0.78125,0.71875,0.9212454212454212,0.9923809523809524,0.5973907113075256,0.09228515625,0.8857142857142857,0.40789473684210525
test/ANGRY/5387332653717816-ANGRY.v17.npz,test,ANGRY,0.875,0.8125,0.78125,0.71875,0.9065934065934066,0.9504761904761905,0.5912071466445923,0.10040283203125,0.8666666666666667,0.33766233766233766
test/ANGRY/5731342734296525-ANGRY.v17.npz,test,ANGRY,0.875,0.84375,0.8125,0.78125,0.9611992945326279,0.9487179487179487,0.5584672689437866,0.076904296875,0.8888888888888888,0.7017543859649122
test/ANGRY/6963305702261142-ANGRY.v17.npz,test,ANGRY,0.875,0.875,0.78125,0.78125,0.9081632653061225,0.9638095238095238,0.5666797161102295,0.076416015625,0.8181818181818182,0.421875
test/ANSWER/038831068133655444-ANSWER.v17.npz,test,ANSWER,0.875,0.8125,0.8125,0.75,0.9560439560439561,0.9706959706959707,0.5586985349655151,0.075927734375,0.8918918918918919,0.4852941176470588
test/ANSWER/2584538399118186-ANSWER.v17.npz,test,ANSWER,0.875,0.875,0.78125,0.78125,0.9302721088435374,0.9695238095238096,0.5487837791442871,0.082763671875,0.8947368421052632,0.4594594594594595
test/ANSWER/32688197878153513-ANSWER.v17.npz,test,ANSWER,0.875,0.84375,0.84375,0.8125,0.8959435626102292,0.9347442680776014,0.5774319171905518,0.079345703125,0.8823529411764706,0.38461538461538464
test/ANSWER/5174718503736164-ANSWER.v17.npz,test,ANSWER,0.875,0.8125,0.875,0.8125,1.0,1.0,0.6317529678344727,0.1092529296875,0.9024390243902439,0.4567901234567901
test/ANSWER/5222996699729119-ANSWER.v17.npz,test,ANSWER,0.875,0.78125,0.625,0.53125,0.9333333333333333,0.969047619047619,0.5218055844306946,0.08026123046875,0.8275862068965517,0.43636363636363634
test/ANSWER/5903671553777192-ANSWER.v17.npz,test,ANSWER,0.875,0.78125,0.875,0.78125,0.9752380952380952,0.9693877551020408,0.5876488089561462,0.0784912109375,0.8823529411764706,0.39473684210526316
test/ANSWER/6092413832118095-ANSWER.v17.npz,test,ANSWER,0.875,0.875,0.71875,0.71875,0.9642857142857143,0.9565217391304348,0.6205411553382874,0.0863037109375,0.8666666666666667,0.5
test/ANSWER/6813521489314345-ANSWER.v17.npz,test,ANSWER,0.875,0.875,0.78125,0.78125,0.9761904761904762,0.9295238095238095,0.6497876048088074,0.0863037109375,0.8709677419354839,0.4426229508196721
test/ANSWER/7019385976188686-ANSWER.v17.npz,test,ANSWER,0.875,0.59375,0.875,0.59375,0.8822055137844611,0.9319727891156463,0.6348183751106262,0.07666015625,0.875,0.6363636363636364
test/ANSWER/7375721126518286-ANSWER.v17.npz,test,ANSWER,0.8125,0.65625,0.75,0.59375,0.8095238095238095,0.9265873015873016,0.5439568161964417,0.0751953125,0.75,0.38461538461538464
test/ANSWER/9001924267286656-ANSWER.v17.npz,test,ANSWER,0.90625,0.78125,0.875,0.75,0.9333333333333333,0.9421768707482994,0.5752738118171692,0.0750732421875,0.9090909090909091,0.5263157894736842
test/ANSWER/950990034891215-ANSWER.v17.npz,test,ANSWER,0.875,0.75,0.78125,0.65625,0.6884920634920635,0.9238095238095239,0.5706421136856079,0.0750732421875,0.8181818181818182,0.38571428571428573
test/ASK/12427744708858346-ASK.v17.npz,test,ASK,0.8125,0.8125,0.0,0.0,0.989010989010989,0.0,0.6054074168205261,0.1407470703125,0.8095238095238095,0.5
test/ASK/17597114212490883-ASK.v17.npz,test,ASK,0.875,0.0,0.875,0.0,0.0,0.8537414965986394,0.5899870991706848,0.086669921875,0.8461538461538461,0.3333333333333333
test/ASK/32589649401310283-ASK.v17.npz,test,ASK,0.875,0.875,0.0,0.0,0.9251700680272109,0.0,0.6031773686408997,0.08447265625,0.84,0.7
test/ASK/375964197411883-ASK.v17.npz,test,ASK,0.8125,0.8125,0.0,0.0,0.9743589743589743,0.0,0.5774498581886292,0.09149169921875,0.8095238095238095,0.5
test/ASK/4229331784858039-ASK.v17.npz,test,ASK,0.875,0.0,0.875,0.0,0.0,0.9574829931972789,0.5316095352172852,0.098388671875,0.8620689655172413,0.5208333333333334
test/ASK/5187180924403598-ASK.v17.npz,test,ASK,0.875,0.0,0.875,0.0,0.0,0.9795918367346939,0.6189805865287781,0.08203125,0.8918918918918919,0.6
test/ASK/5976950094284144-ASK.v17.npz,test,ASK,0.875,0.875,0.0,0.0,0.9846938775510204,0.0,0.6473268270492554,0.10882568359375,0.8518518518518519,0.46938775510204084
