feature_path,video_path,split,label,orientation,width,height,source_frames_before_trim,source_frames_after_trim,elapsed_seconds,hand_frame_fraction_before_trim,hand_frame_fraction_after_trim,hand_presence_fraction,face_presence_fraction,body_presence_fraction,shoulder_coverage,normalization_source,chirality_left,chirality_right,chirality_unknown,finite,binary_presence,missing_spatial_zero,missing_confidence_zero,valid_shape
test/ANGRY/08513757310623649-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/08513757310623649-ANGRY.mp4,test,ANGRY,landscape,640,480,30,29,0.847605209,0.9,0.9310344827586207,0.65185546875,0.59375,0.046875,0.034482758620689655,shoulder_width,15,26,0,True,True,True,True,True
test/ANGRY/11888985347178949-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/11888985347178949-ANGRY.mp4,test,ANGRY,landscape,640,480,88,41,0.9014247500000001,0.38636363636363635,0.8292682926829268,0.74267578125,0.8125,0.671875,0.8048780487804879,shoulder_width,28,33,0,True,True,True,True,True
test/ANGRY/1524601169265407-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/1524601169265407-ANGRY.mp4,test,ANGRY,landscape,960,540,84,29,0.9220935830000001,0.2976190476190476,0.8620689655172413,0.79296875,0.5625,0.4296875,0.5862068965517241,shoulder_width,22,25,0,True,True,True,True,True
test/ANGRY/17023133428195614-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/17023133428195614-ANGRY.mp4,test,ANGRY,landscape,640,480,93,48,0.9444130830000002,0.4731182795698925,0.9166666666666666,0.8212890625,0.875,0.6953125,0.5208333333333334,shoulder_width,38,43,0,True,True,True,True,True
test/ANGRY/21756592291360333-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/21756592291360333-ANGRY.mp4,test,ANGRY,landscape,640,480,83,34,0.8102419589999998,0.3614457831325301,0.8823529411764706,0.81005859375,0.96875,0.2109375,0.2647058823529412,shoulder_width,29,29,0,True,True,True,True,True
test/ANGRY/22543033758638464-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/22543033758638464-ANGRY.mp4,test,ANGRY,landscape,640,480,96,40,0.94715975,0.375,0.9,0.86767578125,0.8125,0.8125,0.825,shoulder_width,35,36,0,True,True,True,True,True
test/ANGRY/2693093225302592-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/2693093225302592-ANGRY.mp4,test,ANGRY,landscape,640,480,57,31,0.6010559999999998,0.45614035087719296,0.8387096774193549,0.7216796875,0.5625,0.015625,0.03225806451612903,shoulder_width,26,20,0,True,True,True,True,True
test/ANGRY/2983145121028361-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/2983145121028361-ANGRY.mp4,test,ANGRY,landscape,640,480,65,42,0.7626521669999997,0.5846153846153846,0.9047619047619048,0.7939453125,0.78125,0.453125,0.7857142857142857,shoulder_width,34,37,0,True,True,True,True,True
test/ANGRY/3101666645542922-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/3101666645542922-ANGRY.mp4,test,ANGRY,landscape,640,480,68,33,0.6839355830000002,0.4117647058823529,0.8484848484848485,0.75439453125,0.75,0.265625,0.2727272727272727,shoulder_width,28,21,0,True,True,True,True,True
test/ANGRY/48411634496923006-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/48411634496923006-ANGRY.mp4,test,ANGRY,landscape,640,480,46,27,0.4680367080000014,0.43478260869565216,0.7407407407407407,0.5244140625,0.625,0.328125,0.037037037037037035,shoulder_width,19,12,0,True,True,True,True,True
test/ANGRY/4924276370652909-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/4924276370652909-ANGRY.mp4,test,ANGRY,landscape,640,480,95,42,1.0721734170000001,0.4,0.9047619047619048,0.859375,0.96875,0.2421875,0.42857142857142855,shoulder_width,36,37,0,True,True,True,True,True
test/ANGRY/5007495284169172-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/5007495284169172-ANGRY.mp4,test,ANGRY,landscape,640,480,76,35,0.8042514999999995,0.40789473684210525,0.8857142857142857,0.76171875,0.9375,0.0390625,0.02857142857142857,shoulder_width,29,28,0,True,True,True,True,True
test/ANGRY/5387332653717816-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/5387332653717816-ANGRY.mp4,test,ANGRY,landscape,640,480,77,30,0.7619494580000001,0.33766233766233766,0.8666666666666667,0.73974609375,0.84375,0.84375,0.8333333333333334,shoulder_width,24,23,0,True,True,True,True,True
test/ANGRY/5731342734296525-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/5731342734296525-ANGRY.mp4,test,ANGRY,landscape,640,480,57,45,0.7135045830000006,0.7017543859649122,0.8888888888888888,0.791015625,0.90625,0.6953125,0.9111111111111111,shoulder_width,38,37,0,True,True,True,True,True
test/ANGRY/6963305702261142-ANGRY.v17.npz,data/local/citizen100_v17/raw/test/ANGRY/6963305702261142-ANGRY.mp4,test,ANGRY,landscape,640,480,64,33,0.6503046660000003,0.421875,0.8181818181818182,0.77392578125,0.75,0.3828125,0.7575757575757576,shoulder_width,27,24,0,True,True,True,True,True
test/ANSWER/038831068133655444-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/038831068133655444-ANSWER.mp4,test,ANSWER,landscape,640,480,68,37,0.7140513750000004,0.4852941176470588,0.8918918918918919,0.78271484375,0.875,0.765625,0.8918918918918919,shoulder_width,31,31,0,True,True,True,True,True
test/ANSWER/2584538399118186-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/2584538399118186-ANSWER.mp4,test,ANSWER,landscape,640,480,74,38,0.7621198749999998,0.4594594594594595,0.8947368421052632,0.78564453125,0.875,0.5,0.868421052631579,shoulder_width,33,28,0,True,True,True,True,True
test/ANSWER/32688197878153513-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/32688197878153513-ANSWER.mp4,test,ANSWER,landscape,640,480,78,34,0.781165875000001,0.38461538461538464,0.8823529411764706,0.7724609375,0.71875,0.015625,0.029411764705882353,shoulder_width,29,29,0,True,True,True,True,True
test/ANSWER/5174718503736164-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/5174718503736164-ANSWER.mp4,test,ANSWER,landscape,640,480,81,41,0.8587044580000018,0.4567901234567901,0.9024390243902439,0.84375,0.78125,0.4609375,0.8048780487804879,shoulder_width,34,35,0,True,True,True,True,True
test/ANSWER/5222996699729119-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/5222996699729119-ANSWER.mp4,test,ANSWER,landscape,640,480,55,29,0.5671682090000019,0.43636363636363634,0.8275862068965517,0.66748046875,0.875,0.6640625,0.8620689655172413,shoulder_width,22,17,0,True,True,True,True,True
test/ANSWER/5903671553777192-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/5903671553777192-ANSWER.mp4,test,ANSWER,landscape,640,480,76,34,0.741784041999999,0.39473684210526316,0.8823529411764706,0.80517578125,0.71875,0.609375,0.7352941176470589,shoulder_width,25,30,0,True,True,True,True,True
test/ANSWER/6092413832118095-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/6092413832118095-ANSWER.mp4,test,ANSWER,landscape,640,480,52,30,0.5605967919999983,0.5,0.8666666666666667,0.765625,0.84375,0.0,0.0,palm_length,26,21,0,True,True,True,True,True
test/ANSWER/6813521489314345-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/6813521489314345-ANSWER.mp4,test,ANSWER,landscape,640,480,61,31,0.6753934579999985,0.4426229508196721,0.8709677419354839,0.7900390625,0.8125,0.2109375,0.2903225806451613,shoulder_width,27,24,0,True,True,True,True,True
test/ANSWER/7019385976188686-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/7019385976188686-ANSWER.mp4,test,ANSWER,landscape,640,480,44,32,0.5149825000000021,0.6363636363636364,0.875,0.66943359375,0.78125,0.46875,0.78125,shoulder_width,18,28,0,True,True,True,True,True
test/ANSWER/7375721126518286-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/7375721126518286-ANSWER.mp4,test,ANSWER,landscape,640,480,39,20,0.39612424999999973,0.38461538461538464,0.75,0.61328125,0.46875,0.015625,0.05,shoulder_width,13,14,0,True,True,True,True,True
test/ANSWER/9001924267286656-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/9001924267286656-ANSWER.mp4,test,ANSWER,landscape,640,480,95,55,1.0344475000000024,0.5263157894736842,0.9090909090909091,0.77685546875,0.75,0.7109375,0.7454545454545455,shoulder_width,41,47,0,True,True,True,True,True
test/ANSWER/950990034891215-ANSWER.v17.npz,data/local/citizen100_v17/raw/test/ANSWER/950990034891215-ANSWER.mp4,test,ANSWER,landscape,960,540,70,33,0.8363120829999993,0.38571428571428573,0.8181818181818182,0.619140625,1.0,0.6484375,1.0,shoulder_width,20,25,0,True,True,True,True,True
test/ASK/12427744708858346-ASK.v17.npz,data/local/citizen100_v17/raw/test/ASK/12427744708858346-ASK.mp4,test,ASK,landscape,640,480,34,21,0.3821263750000021,0.5,0.8095238095238095,0.40185546875,0.8125,0.0234375,0.047619047619047616,shoulder_width,17,0,0,True,True,True,True,True
test/ASK/17597114212490883-ASK.v17.npz,data/local/citizen100_v17/raw/test/ASK/17597114212490883-ASK.mp4,test,ASK,landscape,960,540,66,26,0.7211342500000022,0.3333333333333333,0.8461538461538461,0.37353515625,0.96875,0.4921875,0.9615384615384616,shoulder_width,0,22,0,True,True,True,True,True
