source,split_role,signer_id,class_index,canonical_label,citizen_raw_gloss,citizen_asl_lex_code,asllex_entry_id,signbank_annotation_id,asllrp_video_id,main_entry,entry_variant,occurrence,sign_type,sign_start_frame,sign_end_frame,utterance_start_frame,utterance_end_frame,sign_video_filename,sign_video_url,utterance_video_filename,utterance_video_url,source_collection,utterance_number,master_video_filename,training_eligible
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,8,WHAT,WHAT1,D_02_094,what_2,WHAT,385317,WHAT,WHAT,WHAT,Lexical Signs,8479,8482,8276,8529,sign_640071.mp4,https://dai.cs.rutgers.edu/ss3front/sign_640071.mp4,25067097.mp4,https://dai.cs.rutgers.edu/ss3front/25067097.mp4,4-Ben-Deaf-Speech,41,4-Deaf-Speech.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,353415,WHERE,WHERE,WHERE,Lexical Signs,3550,3559,3503,3815,sign_544295.mp4,https://dai.cs.rutgers.edu/ss3front/sign_544295.mp4,38425538.mp4,https://dai.cs.rutgers.edu/ss3front/38425538.mp4,6-Ben-Control-of-Sound,15,6-Control-of-sound-intro.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,385893,WHERE,WHERE,WHERE,Lexical Signs,4369,4379,4124,4642,sign_642063.mp4,https://dai.cs.rutgers.edu/ss3front/sign_642063.mp4,64659589.mp4,https://dai.cs.rutgers.edu/ss3front/64659589.mp4,5-Ben-Deaf-Grunts,13,5-Deaf-Grunts.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,385959,WHERE,WHERE,WHERE,Lexical Signs,5353,5360,5321,5705,sign_642178.mp4,https://dai.cs.rutgers.edu/ss3front/sign_642178.mp4,52912918.mp4,https://dai.cs.rutgers.edu/ss3front/52912918.mp4,5-Ben-Deaf-Grunts,17,5-Deaf-Grunts.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,386244,WHERE,WHERE,WHERE,Lexical Signs,10600,10601,10428,11083,sign_642605.mp4,https://dai.cs.rutgers.edu/ss3front/sign_642605.mp4,54279358.mp4,https://dai.cs.rutgers.edu/ss3front/54279358.mp4,5-Ben-Deaf-Grunts,31,5-Deaf-Grunts.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,386657,WHERE,WHERE,WHERE,Lexical Signs,5752,5760,5347,5820,sign_644621.mp4,https://dai.cs.rutgers.edu/ss3front/sign_644621.mp4,46883941.mp4,https://dai.cs.rutgers.edu/ss3front/46883941.mp4,8-Ben-Control-of-sound-places,22,8-Control-of-sound-places.mov,True
asllrp,train_candidate,BENJAMIN_JAMES_BAHAN,9,WHERE,WHERE,B_02_035,where,WHERE,386837,WHERE,WHERE,WHERE,Lexical Signs,9355,9360,9331,9746,sign_644919.mp4,https://dai.cs.rutgers.edu/ss3front/sign_644919.mp4,49253789.mp4,https://dai.cs.rutgers.edu/ss3front/49253789.mp4,8-Ben-Control-of-sound-places,38,8-Control-of-sound-places.mov,True
asllrp,train_candidate,CORY,9,WHERE,WHERE,B_02_035,where,WHERE,341025,WHERE,WHERE,WHERE,Lexical Signs,797,808,735,945,sign_509482.mp4,https://dai.cs.rutgers.edu/ss3front/sign_509482.mp4,99038142.mp4,https://dai.cs.rutgers.edu/ss3front/99038142.mp4,Cory_2013-6-25_sc0106,6,2013-06-25_CB_0106-cam1-for-ss3.mp4,True
asllrp,train_candidate,CORY,9,WHERE,WHERE,B_02_035,where,WHERE,341071,WHERE,WHERE,WHERE,Lexical Signs,1574,1578,1499,1641,sign_509536.mp4,https://dai.cs.rutgers.edu/ss3front/sign_509536.mp4,99210571.mp4,https://dai.cs.rutgers.edu/ss3front/99210571.mp4,Cory_2013-6-25_sc0106,10,2013-06-25_CB_0106-cam1-for-ss3.mp4,True
asllrp,train_candidate,CORY,9,WHERE,WHERE,B_02_035,where,WHERE,341291,WHERE,WHERE,WHERE,Lexical Signs,5099,5107,5000,5220,sign_509852.mp4,https://dai.cs.rutgers.edu/ss3front/sign_509852.mp4,83664512.mp4,https://dai.cs.rutgers.edu/ss3front/83664512.mp4,Cory_2013-6-25_sc0106,27,2013-06-25_CB_0106-cam1-for-ss3.mp4,True
